eps,exper,N,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
1.96,0.0,35.0,0.17330844396799983,0.6577380952380952,0.004527250924896881,0.5429513445670474,0.23076923076923073,0.4326101036159649,0.39732911048748687
1.96,1.0,35.0,0.20959326234245815,0.7857142857142857,0.0016881797824356704,0.5475128166255603,0.15384615384615383,0.3052860367419184,0.3628874782211165
1.96,2.0,35.0,0.2035211867257696,0.8244047619047619,0.0018586517902784258,0.4992538848963335,0.07692307692307691,0.0019303151762612557,0.3500948754127395
1.96,3.0,35.0,0.1633448486745457,0.40476190476190477,0.0048412207890739575,0.5598320659306956,0.30769230769230765,0.576286583418626,0.4055162170435021
1.96,4.0,35.0,0.16869293385208894,0.7202380952380952,0.003180113027898027,0.5524019086512846,0.30769230769230765,0.5111023649250022,0.38765290305313616
1.96,5.0,35.0,0.20118531472971118,0.6279761904761905,0.004068795077993588,0.5659261840502263,0.23076923076923073,0.5898423234615279,0.44992183566289334
1.96,6.0,35.0,0.18774704023073513,0.6369047619047619,0.003036427829972601,0.5399000127878332,0.23076923076923073,0.6540008567730973,0.47135261296430747
1.96,7.0,35.0,0.14588086222034424,0.6369047619047619,0.0049779334139659565,0.6315929054289858,0.30769230769230765,0.55489865187082,0.40427745450996466
1.96,8.0,35.0,0.1817513651795109,0.6607142857142857,0.0033825472879752353,0.5041894851650157,0.23076923076923073,0.5218531764938087,0.4534569975004171
1.96,9.0,35.0,0.22916136525163888,0.6160714285714286,0.0034641823761300703,0.5878333499519695,0.30769230769230765,0.1761182616368887,0.2967942397323959
