eps,exper,N,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
2.0,0.0,5.0,0.2515804400304462,0.65,0.0011230582360807133,0.48881904136831184,0.24999999999999994,0.34321924134515924,0.2597858217420335
2.0,1.0,5.0,0.23379124750666874,0.725,0.0013293026266798951,0.3566039275236459,0.37499999999999994,0.2957059434956459,0.2657449684618483
2.0,2.0,5.0,0.21317436470884352,0.75,0.0012337515545647964,0.31702266999958306,0.12499999999999997,0.30115996417133734,0.2962502708236417
2.0,3.0,5.0,0.23832728034828426,0.8,0.001101513238781209,0.3172677406203349,0.24999999999999994,0.2541271834271273,0.2720972417491903
2.0,4.0,5.0,0.20853988782192076,0.825,0.0011017967603084854,0.43630612925656886,0.37499999999999994,0.38483377780653016,0.3602207690595567
2.0,5.0,5.0,0.22669726613192115,0.7,0.001420780951552338,0.3993103272124051,0.37499999999999994,0.26741938103032814,0.21887008187068688
2.0,6.0,5.0,0.21909801010427166,0.7,0.0007886694074420743,0.43399944147849867,0.24999999999999994,0.23022711898204343,0.31948933797329815
2.0,7.0,5.0,0.22279843591175222,0.8,0.0016714080599314995,0.40867174652344584,0.24999999999999994,0.23847042407587773,0.2584088363582848
2.0,8.0,5.0,0.197802148610881,0.7,0.0017831835879066897,0.36356894896575653,0.37499999999999994,0.2886254874734388,0.2579310088973194
2.0,9.0,5.0,0.18999636240878684,0.75,0.0019831403471334596,0.34238891632862944,0.37499999999999994,0.3294530377961921,0.3065742737970716
2.0,0.0,10.0,0.20309765483214534,0.7,0.0024037653267330377,0.378796149510381,0.24999999999999994,0.3857160165837003,0.32322175103671175
2.0,1.0,10.0,0.1903419333854117,0.75,0.001554793568340192,0.38366263985362975,0.37499999999999994,0.41269972425987433,0.2881854628861681
2.0,2.0,10.0,0.18131043504005395,0.65,0.0025437206409776748,0.5302557395353495,0.24999999999999994,0.4225471531223397,0.3231787606000262
2.0,3.0,10.0,0.1675823279105501,0.75,0.0014807787466100634,0.4001719354412421,0.37499999999999994,0.4269115478920007,0.30979924262131575
2.0,4.0,10.0,0.19000949604463085,0.7,0.0015716435300084555,0.4090512891166143,0.24999999999999994,0.44733005859973823,0.3110241792520746
2.0,5.0,10.0,0.19094746188212963,0.725,0.0013400018543656012,0.36167637158970367,0.37499999999999994,0.3785501750505683,0.29918649844090545
2.0,6.0,10.0,0.1689362824850828,0.675,0.0027446783357205776,0.36448855018071696,0.37499999999999994,0.4259489090062461,0.3467678364871447
2.0,7.0,10.0,0.18796018074241747,0.7,0.002322535510481754,0.4159970427497321,0.37499999999999994,0.39979599538059285,0.29631738336965646
2.0,8.0,10.0,0.19910883220249465,0.75,0.0016407697100212213,0.38869643247145713,0.24999999999999994,0.3807393639069462,0.3020676505107009
2.0,9.0,10.0,0.1860776812157302,0.75,0.0023601170471885756,0.3907472231030496,0.24999999999999994,0.35083608830291707,0.2674885067682167
2.0,0.0,15.0,0.2000604533052795,0.7,0.0022309366350467845,0.4416197829397338,0.37499999999999994,0.42671079884812907,0.3010734106918994
2.0,1.0,15.0,0.1742944355295842,0.75,0.0018953465198788167,0.41344477173523886,0.24999999999999994,0.4539073092707689,0.3674058384604101
2.0,2.0,15.0,0.19321841787028943,0.675,0.0028173155661213086,0.39053835529021586,0.24999999999999994,0.5035966906245779,0.34050424145316815
2.0,3.0,15.0,0.20730466269679584,0.65,0.0031674326264296386,0.35241262514655275,0.37499999999999994,0.5979586450583394,0.3970884672789878
2.0,4.0,15.0,0.2042450437147767,0.65,0.004774725762399471,0.3510308425209552,0.37499999999999994,0.5201424089074446,0.3482497461103931
2.0,5.0,15.0,0.1873717585589676,0.6,0.006047173287988958,0.45570095726652826,0.24999999999999994,0.5555443769369036,0.3153946519822734
2.0,6.0,15.0,0.19292172700736684,0.675,0.0017271218233445907,0.46221456458333066,0.37499999999999994,0.33515228146475784,0.2895622490246714
2.0,7.0,15.0,0.22449334204085802,0.65,0.000993926264495508,0.45284707998519247,0.24999999999999994,0.2955753629276732,0.29249459849958886
2.0,8.0,15.0,0.17155204860232381,0.75,0.004652861166809705,0.33072976175077506,0.12499999999999997,0.5044290247250464,0.35168308523484526
2.0,9.0,15.0,0.19681733300174017,0.775,0.0023533952947911115,0.4312159113900712,0.24999999999999994,0.5103763121285554,0.37044936740477613
2.0,0.0,20.0,0.19743934820849943,0.725,0.0012310603146782327,0.345331782044318,0.37499999999999994,0.3562163727028625,0.29357520970277384
2.0,1.0,20.0,0.1923571830693006,0.725,0.0016690837519864857,0.38067480506324625,0.24999999999999994,0.516746425844299,0.4054692503366749
2.0,2.0,20.0,0.1984849456626947,0.725,0.001873366745179432,0.3714740390674589,0.12499999999999997,0.5198670212097094,0.33576856655622006
2.0,3.0,20.0,0.19023814553935725,0.725,0.0016708178698219352,0.2855124841697878,0.37499999999999994,0.506612259477297,0.3333178412071562
2.0,4.0,20.0,0.2038467788462455,0.75,0.0016388665932162458,0.5125936444954582,0.24999999999999994,0.468871697593923,0.3580609547916299
2.0,5.0,20.0,0.19868701473629735,0.675,0.006497667326309792,0.375803367921244,0.24999999999999994,0.540470779713169,0.4117859994450675
2.0,6.0,20.0,0.1925822365209447,0.775,0.00298744503194094,0.47042958600783913,0.12499999999999997,0.511047706847624,0.40876989682597664
2.0,7.0,20.0,0.180953649349094,0.75,0.0013831628104915461,0.34005378285022686,0.37499999999999994,0.49986461724790193,0.3073461540028242
2.0,8.0,20.0,0.19849431877617438,0.775,0.001612387496200356,0.4452233877421973,0.12499999999999997,0.43296087931998395,0.36810988779749626
