n,e1,e2,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
5,0.60,0.20,0.22018054435837767,0.74,0.001353660477038116,0.38639588892771803,0.3,0.293324155960368,0.28153726107329313
10,0.60,0.20,0.18653722857406466,0.715,0.001996280427044715,0.40235433735518766,0.3125,0.40310750321049243,0.30672372719729213
15,0.60,0.20,0.19522792223279822,0.6875,0.00306602349473059,0.4081754652608594,0.2875,0.4703393210892196,0.33739056561410136
20,0.60,0.20,0.1931105402120849,0.7350000000000001,0.0022461531304009477,0.39263961040746076,0.2625,0.48748002048868333,0.35501225033571643
25,0.60,0.20,0.18089088104558723,0.73,0.0024226366519111637,0.3969141396148294,0.325,0.4918129916929376,0.3300180508359035
30,0.60,0.20,0.1830078246657252,0.705,0.0046903522100822295,0.419233949509664,0.275,0.4923425043641384,0.3650932839816613
35,0.60,0.20,0.1814862802937899,0.69,0.004252596311203482,0.4948193607561088,0.3125,0.543229124020044,0.3887453713924492
5,0.10,0.20,0.06426527140101218,0.29250000000000004,0.027847612349718977,4.293275481386701,0.2,0.9584468767966955,0.7841264770667955
10,0.10,0.20,0.09390285203220171,0.31999999999999995,0.011779822559245607,1.6876632322349743,0.175,0.8757506852557627,0.7128421278101139
15,0.10,0.20,0.1311085615526831,0.5775,0.011422325307225898,1.1410794547235859,0.19999999999999998,0.7172966675899188,0.5797306022003974
20,0.10,0.20,0.13441892658849747,0.5575,0.00806642889612567,1.0249009459699099,0.125,0.6381283507390607,0.5314970741688442
25,0.10,0.20,0.15760825130159,0.7275,0.004873694521840239,0.7221952578981705,0.2375,0.5384243596542839,0.4511625133523422
30,0.10,0.20,0.15863804536525775,0.7424999999999999,0.005513681075471166,0.5804090975550771,0.16249999999999998,0.5726110018694631,0.4448591152417083
35,0.10,0.20,0.15962490548662872,0.575,0.007608761438929769,0.680517842454001,0.3125,0.5788187980957311,0.44781020257771453
5,0.20,0.60,0.23529833540724693,0.6375,0.0070469963456758974,0.4053357916707795,0.24999999999999994,0.5843402912319371,0.35510944158100416
10,0.20,0.60,0.2610845843512559,0.6875,0.00639310396055767,0.3594368786894825,0.26249999999999996,0.5201036246086754,0.328758167952478
15,0.20,0.60,0.24441463690248896,0.62,0.007587981972716965,0.3362964116761872,0.275,0.5736486715334147,0.3172198061348377
20,0.20,0.60,0.23313155426564278,0.6575,0.008084497329713471,0.345383248787905,0.25,0.5719560387245328,0.320294410672081
25,0.20,0.60,0.2360889843532099,0.6450000000000001,0.010014387514635879,0.32742947812170015,0.3,0.6055651145513672,0.3496009082121559
30,0.20,0.60,0.22920835790772426,0.6675000000000001,0.008486265138837101,0.3519061146693878,0.2,0.5826563433880191,0.3468932514811363
35,0.20,0.60,0.23109878973544423,0.6325000000000001,0.00576230322944533,0.3522776602053793,0.22499999999999995,0.5517986151721425,0.30746440593743013
5,0.10,0.30,0.12982588659297023,0.6849999999999999,0.005718125493438191,2.2892778418532793,0.11249999999999998,0.8128092260871899,0.6477358135944504
10,0.10,0.30,0.13813203810827396,0.5850000000000001,0.009812276688138041,0.936394653240043,0.19999999999999998,0.714773131001033,0.5578412897105229
15,0.10,0.30,0.19448306690239608,0.6900000000000001,0.005595112724086416,0.7262101440794078,0.14999999999999997,0.5689211627141816,0.4118160296937807
20,0.10,0.30,0.1924650613808155,0.6575,0.0062921770378491755,0.5736573360171107,0.2125,0.5387471083837382,0.3730331340972683
25,0.10,0.30,0.1886215999645784,0.6875000000000001,0.007263602520607297,0.45556330542213647,0.18749999999999997,0.5290930509471246,0.41798306524392287
30,0.10,0.30,0.1934151926965104,0.7375,0.007185526677887137,0.49106568833679376,0.2125,0.532160548440433,0.392131580818861
35,0.10,0.30,0.18652675088501716,0.7175,0.006808040014911856,0.4052807371693696,0.2625,0.5122108766835997,0.38963754212786295
5,0.60,0.30,0.25810390118386634,0.6375,0.0020305611037395527,0.3779617859398686,0.275,0.3116086894678603,0.24048105059887606
10,0.60,0.30,0.22836101569636016,0.645,0.0027939704306472616,0.3701655902527562,0.22499999999999995,0.3964787094595463,0.2493641887692367
15,0.60,0.30,0.21316097272284593,0.6224999999999999,0.003461156978743546,0.3713480625434767,0.26249999999999996,0.46804578011699294,0.29058683573964783
20,0.60,0.30,0.2126777968277087,0.5850000000000001,0.00380034958214576,0.3886001158469233,0.275,0.5232845682085152,0.29403857343630185
25,0.60,0.30,0.2157037291365957,0.6399999999999999,0.0036300673626463555,0.4006526410648347,0.25,0.5025732616707659,0.3192338628700921
30,0.60,0.30,0.21578119325585296,0.6699999999999999,0.0035255027076491786,0.3881296763184796,0.2625,0.4951849598385915,0.3009658598496676
35,0.60,0.30,0.2188518612787064,0.6499999999999999,0.00688307638099246,0.38879205032080877,0.22499999999999995,0.5679843671667067,0.36261347719886516
5,0.20,0.70,0.24812388972894314,0.55,0.008771123985590972,0.38852249794768784,0.3,0.5805058797422145,0.3861062037408718
10,0.20,0.70,0.22797647583169917,0.5650000000000001,0.013125732863519595,0.37074620714580864,0.2875,0.6231461671730081,0.38725172997618557
15,0.20,0.70,0.23763963150683556,0.6199999999999999,0.006640083712346333,0.3287605388189272,0.2625,0.6031815874273355,0.32100800281680425
20,0.20,0.70,0.2529913423474611,0.5800000000000001,0.003957605970456882,0.36288431817796934,0.225,0.5264395773463343,0.2985903346896337
25,0.20,0.70,0.23110331176470417,0.605,0.01046992101507416,0.3695729828606854,0.21249999999999997,0.6421279450312696,0.35538562588909695
30,0.20,0.70,0.24036849040218308,0.64,0.00504528693495,0.3838956025315706,0.2125,0.5523741051108896,0.318762809403374
